Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429285,61664910393.24933,0.5010881990728191
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44762396756,10604968581.895864,0.9141984648931063
SGDRegressor,7.938643269240198e+17,6.482180866047805e+35,-5.244532926735048e+24
ANN,199177.05137006406,61436345586.431046,0.5029374465406427
RandomForest,98172.23858855727,15014179285.653816,0.8785248988593494
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
